person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,high_loan_burden,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,age_group_Middle-aged,age_group_Senior,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
22,59000,123.0,4,35000,16.02,1,0.59,1,3,1,False,False,True,False,False,False,False,False,True,False
21,9600,5.0,2,1000,11.14,0,0.1,0,2,0,False,True,False,False,False,True,False,False,False,False
25,9600,1.0,3,5500,12.87,1,0.57,0,3,1,False,False,False,False,False,False,False,True,False,False
23,65500,4.0,3,35000,15.23,1,0.53,0,2,1,False,False,True,False,False,False,False,True,False,False
24,54400,8.0,3,35000,14.27,1,0.55,1,4,1,False,False,True,False,False,False,False,True,False,False
21,9900,2.0,1,2500,7.14,1,0.25,0,2,0,False,True,False,False,False,False,False,False,False,True
26,77100,8.0,2,35000,12.42,1,0.45,0,3,0,False,False,True,False,False,True,False,False,False,False
24,78956,5.0,2,35000,11.11,1,0.44,0,4,0,False,False,True,False,False,False,False,True,False,False
24,83000,8.0,1,35000,8.9,1,0.42,0,2,0,False,False,True,False,False,False,False,False,True,False
21,10000,6.0,4,1600,14.74,1,0.16,0,3,0,False,True,False,False,False,False,False,False,False,True
22,85000,6.0,2,35000,10.37,1,0.41,0,4,0,False,False,True,False,False,False,False,False,False,True
21,10000,2.0,1,4500,8.63,1,0.45,0,2,0,False,True,False,False,False,False,True,False,False,False
23,95000,2.0,1,35000,7.9,1,0.37,0,2,0,False,False,True,False,False,False,False,False,False,True
26,108160,4.0,5,35000,18.39,1,0.32,0,4,0,False,False,True,False,False,True,False,False,False,False
23,115000,2.0,1,35000,7.9,0,0.3,0,4,0,False,False,True,False,False,True,False,False,False,False
23,500000,7.0,2,30000,10.65,0,0.06,0,3,0,False,False,False,False,False,False,False,False,False,False
23,120000,0.0,1,35000,7.9,0,0.29,0,4,0,False,False,True,False,False,True,False,False,False,False
23,92111,7.0,6,35000,20.25,1,0.32,0,4,0,False,False,True,False,False,False,False,True,False,False
23,113000,8.0,4,35000,18.25,1,0.31,0,4,0,False,False,True,False,False,False,False,False,False,False
24,10800,8.0,2,1750,10.99,1,0.16,0,2,0,False,False,False,False,False,True,False,False,False,False
25,162500,2.0,1,35000,7.49,0,0.22,0,4,0,False,False,True,False,False,False,False,False,False,True
25,137000,9.0,5,34800,16.77,0,0.25,1,2,0,False,False,True,False,False,False,False,False,True,False
22,65000,4.0,4,34000,17.58,1,0.52,0,4,1,False,False,True,False,False,True,False,False,False,False
24,10980,0.0,1,1500,7.29,0,0.14,0,3,0,False,True,False,False,False,False,False,False,True,False
22,80000,3.0,4,33950,14.54,1,0.42,1,4,0,False,False,True,False,False,False,False,False,True,False
24,67746,8.0,3,33000,12.68,1,0.49,0,3,0,False,False,True,False,False,False,True,False,False,False
21,11000,3.0,5,4575,17.74,1,0.42,1,3,0,False,False,False,False,False,False,False,False,False,True
23,11000,0.0,1,1400,9.32,0,0.13,0,3,0,False,True,False,False,False,False,False,False,True,False
24,65000,6.0,2,32500,9.99,1,0.5,0,3,0,False,False,True,False,False,False,True,False,False,False
21,11389,5.0,3,4000,12.84,1,0.35,1,2,0,True,False,False,False,False,True,False,False,False,False
21,11520,5.0,2,2000,11.12,1,0.17,0,3,0,False,True,False,False,False,False,False,True,False,False
25,120000,2.0,1,32000,6.62,0,0.27,0,2,0,False,False,True,False,False,False,False,False,False,True
26,95000,7.0,3,31050,14.17,1,0.33,1,3,0,False,False,True,False,False,False,True,False,False,False
25,306000,2.0,3,24250,13.85,0,0.08,0,3,0,False,False,True,False,False,False,False,False,False,False
26,300000,10.0,3,7800,13.49,0,0.03,0,4,0,False,False,False,False,False,False,False,True,False,False
21,12000,5.0,1,2500,7.51,1,0.21,0,4,0,False,True,False,False,False,True,False,False,False,False
22,48000,1.0,5,30000,18.39,1,0.63,0,2,1,False,False,True,False,False,True,False,False,False,False
24,64000,8.0,4,30000,14.54,1,0.47,1,3,0,False,False,True,False,False,False,False,False,False,False
25,75000,4.0,4,30000,16.89,1,0.4,1,4,0,False,False,True,False,False,False,True,False,False,False
23,71500,3.0,4,30000,15.31,1,0.42,0,4,0,False,False,True,False,False,False,False,False,False,False
26,62050,6.0,5,30000,17.99,1,0.41,0,2,0,False,False,True,False,False,False,False,True,False,False
24,12000,4.0,2,2500,12.69,1,0.21,0,3,0,False,True,False,False,False,False,False,False,False,True
26,300000,10.0,1,20000,7.88,0,0.07,0,4,0,False,False,False,False,False,False,False,False,False,True
23,300000,1.0,6,24250,19.41,0,0.08,1,2,0,False,True,False,False,False,True,False,False,False,False
26,300000,9.0,2,10000,10.38,0,0.03,0,4,0,False,True,False,False,False,False,True,False,False,False
26,300000,0.0,4,25000,15.33,0,0.08,0,3,0,False,False,False,False,False,True,False,False,False,False
25,300000,9.0,5,18000,16.45,0,0.06,0,3,0,False,False,False,False,False,False,True,False,False,False
26,80690,8.0,1,30000,7.49,1,0.37,0,3,0,False,False,True,False,False,False,False,False,True,False
22,66300,4.0,2,30000,12.69,1,0.38,0,3,0,False,False,True,False,False,False,False,True,False,False
26,89028,0.0,1,30000,6.62,1,0.34,0,3,0,False,False,True,False,False,False,False,False,False,False
24,78000,4.0,4,30000,15.31,1,0.38,1,4,0,False,False,True,False,False,False,False,False,False,False
23,78000,7.0,6,30000,18.62,1,0.38,1,3,0,False,False,True,False,False,False,False,False,False,False
23,92004,6.0,3,30000,15.23,1,0.33,1,3,0,False,False,True,False,False,False,False,False,True,False
23,97000,7.0,2,30000,10.65,1,0.31,0,2,0,False,False,True,False,False,False,False,False,False,True
25,120000,9.0,1,30000,7.9,0,0.25,0,4,0,False,False,True,False,False,True,False,False,False,False
26,280000,4.0,3,10000,15.96,0,0.04,1,3,0,False,False,True,False,False,False,False,False,True,False
26,277104,0.0,2,20000,11.48,0,0.07,0,3,0,False,False,True,False,False,False,False,False,False,True
23,277000,3.0,1,35000,7.49,0,0.13,0,4,0,False,True,False,False,False,False,False,False,True,False
25,128000,9.0,1,30000,7.29,0,0.23,0,4,0,False,False,True,False,False,False,False,False,True,False
24,12000,2.0,5,1750,16.82,0,0.15,1,3,0,False,True,False,False,False,False,False,False,False,True
21,131000,0.0,1,30000,5.99,0,0.23,0,4,0,False,False,True,False,False,False,False,False,False,True
22,275000,6.0,2,12000,11.58,0,0.04,0,2,0,False,True,False,False,False,False,False,False,False,True
26,263000,0.0,2,10000,10.99,1,0.04,0,4,0,False,False,False,False,False,True,False,False,False,False
25,221850,9.0,4,25000,15.7,1,0.1,0,2,0,False,False,False,False,False,False,False,True,False,False
22,70000,6.0,4,29100,15.99,1,0.42,0,3,0,False,False,True,False,False,True,False,False,False,False
22,12000,7.0,4,1500,14.84,0,0.13,1,3,0,False,False,False,False,False,True,False,False,False,False
26,260000,10.0,2,28000,10.99,0,0.11,0,3,0,False,True,False,False,False,False,True,False,False,False
25,259000,9.0,4,20000,14.42,0,0.08,1,2,0,False,False,False,False,False,False,True,False,False,False
24,255000,9.0,1,9600,6.99,0,0.04,0,2,0,False,False,False,False,False,True,False,False,False,False
25,250000,2.0,3,25000,13.49,0,0.1,0,4,0,False,False,True,False,False,False,False,True,False,False
25,12000,0.0,3,3000,13.48,1,0.25,0,3,0,False,True,False,False,False,False,False,True,False,False
22,56950,6.0,1,28000,7.49,1,0.49,0,2,0,False,False,True,False,False,False,False,True,False,False
21,12000,6.0,3,3000,13.61,1,0.25,1,3,0,False,True,False,False,False,True,False,False,False,False
23,65000,2.0,1,28000,7.9,1,0.43,0,2,0,False,False,True,False,False,True,False,False,False,False
26,85000,2.0,1,28000,7.49,1,0.33,0,3,0,False,False,True,False,False,False,False,False,False,True
26,12000,2.0,1,6100,7.51,1,0.51,0,3,1,False,True,False,False,False,True,False,False,False,False
22,88000,6.0,2,28000,9.91,1,0.32,0,3,0,False,False,True,False,False,False,False,False,False,True
21,12000,0.0,3,4200,13.48,1,0.35,1,4,0,False,True,False,False,False,False,False,False,True,False
22,12000,6.0,1,4750,7.14,1,0.4,0,2,0,False,True,False,False,False,False,False,False,False,False
24,83004,0.0,4,28000,15.99,1,0.34,1,4,0,False,False,True,False,False,False,False,False,False,True
24,250000,2.0,3,18000,12.98,0,0.07,1,3,0,False,False,True,False,False,True,False,False,False,False
144,250000,4.0,3,4800,13.57,0,0.02,0,3,0,False,False,True,False,True,False,False,False,False,True
25,100000,5.0,2,28000,12.69,0,0.28,0,3,0,False,False,True,False,False,False,False,False,False,False
26,110000,10.0,1,28000,8.9,0,0.25,0,2,0,False,False,True,False,False,True,False,False,False,False
26,12000,0.0,1,2700,7.49,1,0.23,0,4,0,False,True,False,False,False,False,False,False,False,False
22,108000,6.0,2,28000,10.99,1,0.26,0,4,0,False,False,True,False,False,True,False,False,False,False
23,151200,7.0,2,28000,11.11,0,0.19,0,2,0,False,False,True,False,False,False,False,False,False,False
24,69000,2.0,1,27600,7.49,1,0.4,0,2,0,False,False,True,False,False,False,True,False,False,False
21,12000,5.0,5,3250,15.68,1,0.27,1,3,0,False,False,False,False,False,False,False,False,False,False
22,70000,4.0,3,27500,13.06,1,0.39,1,3,0,False,False,True,False,False,True,False,False,False,False
22,240000,6.0,2,25000,10.99,0,0.1,0,2,0,False,True,False,False,False,False,False,False,True,False
26,73200,5.0,4,27050,15.62,1,0.37,1,2,0,False,False,True,False,False,False,False,False,False,True
24,83000,5.0,3,27000,13.49,1,0.33,1,2,0,False,False,True,False,False,False,False,False,True,False
24,73399,0.0,4,27000,15.31,1,0.37,0,3,0,False,False,True,False,False,False,False,False,False,True
23,62500,7.0,2,26000,11.71,1,0.42,0,2,0,False,False,True,False,False,False,False,True,False,False
23,120000,1.0,2,25600,12.69,0,0.21,0,3,0,False,False,True,False,False,True,False,False,False,False
24,12360,2.0,3,1600,13.57,0,0.13,0,3,0,False,True,False,False,False,False,False,True,False,False
22,60000,0.0,2,25475,10.99,1,0.42,0,3,0,False,False,True,False,False,False,False,False,False,True
25,234000,3.0,3,20000,14.27,0,0.09,1,4,0,False,False,False,False,False,False,False,True,False,False
24,234000,8.0,2,20000,8.88,0,0.09,0,4,0,False,True,False,False,False,False,True,False,False,False
26,234000,10.0,2,21600,12.18,0,0.09,0,3,0,False,False,False,False,False,False,True,False,False,False
25,221004,6.0,4,11900,14.42,1,0.05,1,3,0,False,False,False,False,False,False,False,False,False,False
26,232500,0.0,3,25000,14.17,0,0.11,1,2,0,False,False,False,False,False,False,False,True,False,False
25,230000,5.0,3,35000,13.99,0,0.15,0,4,0,False,False,False,False,False,False,False,True,False,False
23,83000,7.0,2,25300,10.99,1,0.3,0,3,0,False,False,True,False,False,True,False,False,False,False
22,12600,4.0,1,2000,5.42,1,0.16,0,4,0,False,False,False,False,False,False,False,False,True,False
25,12600,3.0,3,1750,13.61,0,0.14,0,3,0,False,True,False,False,False,False,False,False,True,False
21,42500,3.0,3,25000,12.73,1,0.59,1,3,1,False,False,True,False,False,True,False,False,False,False
24,41000,2.0,4,25000,15.31,1,0.61,0,3,1,False,False,True,False,False,False,True,False,False,False
25,12816,0.0,3,3000,12.87,1,0.23,1,4,0,False,True,False,False,False,False,False,False,False,False
24,12960,1.0,2,3650,9.91,1,0.28,0,3,0,False,False,False,False,False,False,True,False,False,False
26,226000,4.0,2,20000,11.49,0,0.09,0,4,0,False,False,False,False,False,False,True,False,False,False
25,225000,0.0,5,30000,19.91,0,0.13,1,2,0,False,False,False,False,False,False,True,False,False,False
26,213000,6.0,2,35000,10.65,1,0.16,0,2,0,False,False,False,False,False,True,False,False,False,False
24,225000,0.0,2,6000,10.99,0,0.03,0,4,0,False,False,True,False,False,False,False,True,False,False
24,12960,0.0,2,4500,11.83,1,0.35,0,4,0,False,False,False,False,False,False,False,False,False,False
23,12996,0.0,3,2400,13.49,1,0.18,1,2,0,False,True,False,False,False,False,False,False,False,False
22,42000,6.0,4,25000,14.59,1,0.6,1,2,1,False,False,True,False,False,False,False,True,False,False
26,48000,2.0,2,25000,9.64,1,0.52,0,4,1,False,False,True,False,False,True,False,False,False,False
25,12996,1.0,4,3600,14.59,1,0.28,0,3,0,False,True,False,False,False,False,False,True,False,False
22,12996,1.0,2,4750,10.99,1,0.37,0,3,0,False,True,False,False,False,True,False,False,False,False
25,42360,1.0,5,25000,16.35,1,0.59,1,3,1,False,False,True,False,False,True,False,False,False,False
21,49000,4.0,2,25000,10.99,1,0.51,0,2,1,False,False,True,False,False,True,False,False,False,False
25,225000,0.0,6,25000,18.67,0,0.11,0,2,0,False,False,False,False,False,False,False,False,False,True
26,225000,1.0,1,3000,9.32,0,0.01,0,4,0,False,False,True,False,False,True,False,False,False,False
23,225000,8.0,1,7500,8.63,0,0.03,0,2,0,False,False,True,False,False,False,False,False,False,False
26,225000,2.0,2,25000,10.08,0,0.11,0,2,0,False,False,False,False,False,False,False,False,False,True
22,49464,5.0,2,25000,11.83,1,0.51,0,3,1,False,False,True,False,False,False,False,False,True,False
